Gen;	BestValidFit;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
105000;	0.159275;	47 0.125208 0.15929;	57 0.125927 0.210193;	57 0.126483 0.210193;	53 0.126568 0.210193;	
107500;	0.159275;	46 0.125208 0.15929;	53 0.125364 0.210193;	57 0.125927 0.210193;	57 0.126483 0.210193;	
110000;	0.159275;	40 0.125208 0.15929;	49 0.125268 0.210193;	53 0.125364 0.210193;	57 0.125927 0.210193;	
112500;	0.127215;	66 0.110681 0.127215;	49 0.122578 0.171082;	40 0.125208 0.15929;	49 0.125268 0.210193;	
115000;	0.127215;	66 0.110681 0.127215;	53 0.122007 0.210193;	49 0.122578 0.171082;	49 0.122831 0.210193;	
117500;	0.127215;	66 0.110681 0.127215;	53 0.122007 0.210193;	49 0.122578 0.171082;	49 0.122831 0.210193;	
120000;	0.127207;	59 0.110681 0.127207;	61 0.110681 0.127215;	60 0.111107 0.171082;	54 0.121807 0.210193;	
122500;	0.127207;	59 0.110681 0.127207;	51 0.110681 0.210193;	49 0.111107 0.210193;	57 0.118526 0.210193;	
125000;	0.126949;	56 0.110681 0.126949;	56 0.110681 0.127097;	59 0.110681 0.127207;	61 0.110681 0.210193;	
127500;	0.124966;	57 0.109511 0.134014;	63 0.110662 0.12702;	58 0.110663 0.210193;	53 0.110667 0.126955;	
130000;	0.124966;	61 0.1081 0.138494;	60 0.108824 0.210193;	57 0.109511 0.134014;	60 0.110168 0.210193;	
132500;	0.12462;	60 0.108002 0.12462;	61 0.1081 0.138494;	60 0.108824 0.210193;	57 0.109511 0.134014;	
135000;	0.12462;	63 0.107751 0.125474;	60 0.108002 0.12462;	61 0.1081 0.138494;	60 0.108193 0.210193;	
137500;	0.12462;	63 0.107751 0.125474;	60 0.108002 0.12462;	61 0.10803 0.126955;	61 0.1081 0.138494;	
140000;	0.12462;	62 0.107647 0.126269;	63 0.107751 0.125474;	60 0.108002 0.12462;	61 0.10803 0.126955;	
142500;	0.12462;	59 0.107175 0.130037;	72 0.107388 0.130365;	62 0.107647 0.126269;	63 0.107751 0.125474;	
145000;	0.12462;	59 0.107175 0.130037;	72 0.107388 0.130365;	68 0.107509 0.12462;	62 0.107647 0.126269;	
147500;	0.12462;	59 0.107175 0.130037;	57 0.107359 0.125474;	72 0.107388 0.130365;	68 0.107509 0.12462;	
150000;	0.12462;	67 0.104938 0.125228;	58 0.106447 0.12462;	59 0.107175 0.130037;	57 0.107359 0.125474;	
152500;	0.12462;	67 0.104938 0.125228;	64 0.105436 0.130365;	59 0.106065 0.210193;	58 0.106447 0.12462;	
155000;	0.123061;	59 0.104573 0.123061;	67 0.104938 0.125228;	64 0.105436 0.130365;	59 0.105784 0.126955;	
157500;	0.123061;	58 0.104573 0.123061;	59 0.104702 0.125474;	67 0.104938 0.125228;	62 0.105182 0.126955;	
160000;	0.117802;	60 0.104062 0.117802;	56 0.104573 0.126955;	59 0.104702 0.125474;	70 0.104776 0.126955;	
162500;	0.117802;	72 0.103748 0.12156;	65 0.103969 0.122921;	60 0.104062 0.117802;	59 0.104392 0.126955;	
165000;	0.117802;	68 0.0981626 0.126265;	72 0.103748 0.12156;	65 0.103969 0.122921;	60 0.104062 0.117802;	
167500;	0.111318;	64 0.0950189 0.111325;	59 0.095019 0.111318;	63 0.0950312 0.111318;	66 0.0952541 0.111924;	
170000;	0.0973625;	65 0.0925236 0.0973625;	64 0.093255 0.126955;	64 0.0937767 0.126955;	74 0.0949414 0.111318;	
172500;	0.0973625;	60 0.0898461 0.106171;	65 0.0925236 0.0973625;	64 0.093255 0.126955;	64 0.0934781 0.111924;	
175000;	0.0973625;	59 0.0895723 0.109182;	60 0.0898461 0.106171;	63 0.0898776 0.111924;	65 0.0925236 0.0973625;	
177500;	0.0973625;	59 0.0895723 0.109182;	67 0.0897057 0.12156;	62 0.0897932 0.0973625;	60 0.0898461 0.106171;	
180000;	0.0973625;	59 0.0874095 0.107386;	58 0.088682 0.0973625;	59 0.0895723 0.109182;	67 0.0897057 0.12156;	
182500;	0.0973625;	59 0.0874095 0.107386;	64 0.087664 0.12156;	63 0.0884187 0.106171;	58 0.088682 0.0973625;	
185000;	0.0973625;	59 0.0874095 0.107386;	61 0.0876086 0.109182;	64 0.087664 0.12156;	62 0.0879813 0.111318;	
187500;	0.0973625;	60 0.0872652 0.105938;	59 0.0874095 0.107386;	60 0.0876086 0.111318;	60 0.087664 0.126955;	
190000;	0.0973625;	60 0.0872652 0.105938;	59 0.0874095 0.107386;	62 0.0874443 0.126955;	61 0.0875663 0.0973625;	
192500;	0.0973625;	59 0.0872266 0.104886;	60 0.0872652 0.105938;	59 0.0874095 0.107386;	63 0.0874215 0.126955;	
195000;	0.0973625;	59 0.0872266 0.104886;	60 0.0872652 0.105938;	68 0.0874061 0.111325;	65 0.0874091 0.126955;	
197500;	0.0973625;	56 0.087209 0.104352;	59 0.0872266 0.104886;	60 0.0872652 0.105938;	62 0.0872802 0.126955;	
200000;	0.0973625;	56 0.0871293 0.106786;	66 0.0871741 0.111318;	54 0.0871832 0.111325;	56 0.087209 0.104352;	
202500;	0.0973625;	59 0.0871006 0.101716;	56 0.0871293 0.106786;	60 0.087174 0.104352;	66 0.0871741 0.111318;	
205000;	0.0973625;	60 0.0869903 0.113392;	62 0.0870821 0.104274;	59 0.0871006 0.101716;	61 0.0871215 0.111318;	
207500;	0.0973625;	57 0.0869195 0.10012;	60 0.0869903 0.113392;	62 0.0870821 0.104274;	65 0.0870905 0.111318;	
210000;	0.0959038;	59 0.0857797 0.0959038;	66 0.08623 0.10817;	59 0.0868416 0.102113;	57 0.0869195 0.10012;	
212500;	0.0959038;	63 0.0844969 0.128899;	60 0.0854204 0.10817;	69 0.0854726 0.114219;	59 0.0857797 0.0959038;	
215000;	0.0959038;	64 0.0842618 0.104959;	63 0.0844969 0.128899;	63 0.0852208 0.104274;	60 0.0854204 0.10817;	
217500;	0.0959038;	64 0.0842618 0.104959;	74 0.0843431 0.10817;	66 0.0843622 0.114219;	61 0.0844945 0.107386;	
220000;	0.0959038;	64 0.0842618 0.104959;	74 0.0843431 0.10817;	66 0.0843622 0.114219;	61 0.0844945 0.107386;	
222500;	0.0959038;	65 0.0836203 0.129984;	62 0.0836714 0.114219;	64 0.0842618 0.104959;	74 0.0843431 0.10817;	
225000;	0.0959038;	65 0.0836203 0.129984;	62 0.0836714 0.114219;	64 0.0842618 0.104959;	61 0.0843061 0.10817;	
227500;	0.0959038;	65 0.0836203 0.129984;	62 0.0836342 0.10817;	63 0.0836647 0.107386;	62 0.0836714 0.114219;	
230000;	0.0959038;	70 0.0828053 0.129678;	69 0.0830353 0.139577;	66 0.0832765 0.107386;	65 0.0836203 0.129984;	
232500;	0.0959038;	70 0.0828053 0.129678;	69 0.0830353 0.139577;	66 0.0832765 0.107386;	65 0.0836203 0.129984;	
235000;	0.0959038;	72 0.0827187 0.128809;	70 0.0828053 0.129678;	69 0.0830353 0.139577;	66 0.0832765 0.107386;	
237500;	0.0959038;	72 0.0827187 0.128809;	69 0.0827718 0.139577;	70 0.0828053 0.129678;	69 0.0828823 0.0959038;	
240000;	0.0959038;	68 0.0827187 0.128809;	69 0.0827718 0.139577;	70 0.0828053 0.129678;	69 0.0828823 0.0959038;	
242500;	0.0959038;	68 0.0827187 0.128809;	63 0.0827188 0.0959038;	68 0.0827589 0.0959038;	69 0.0827718 0.139577;	
245000;	0.0959038;	66 0.0809576 0.125129;	63 0.0819817 0.0959038;	66 0.0822556 0.0959038;	63 0.0827187 0.107386;	
247500;	0.0959038;	70 0.0793526 0.1253;	67 0.0800472 0.117373;	66 0.0800786 0.114219;	66 0.0809576 0.125129;	
250000;	0.0959038;	64 0.0785528 0.141691;	70 0.0793526 0.1253;	75 0.0794058 0.113392;	67 0.0800472 0.117373;	
Best: Len=59; Trn=0.0857797; Val=0.0959038; Tst=0.105758;

2500;	0.205891;	16 0.205579 0.205891;	22 0.207592 0.207988;	22 0.207702 0.113392;	11 0.210066 0.210774;	
5000;	0.204081;	25 0.200633 0.204081;	19 0.202327 0.210774;	17 0.203154 0.205459;	16 0.203205 0.113392;	
7500;	0.204081;	25 0.200633 0.204081;	27 0.200753 0.207988;	19 0.202327 0.210774;	28 0.203133 0.113392;	
10000;	0.202295;	21 0.199758 0.202295;	23 0.200237 0.205891;	25 0.200633 0.204081;	27 0.200753 0.207988;	
12500;	0.198902;	27 0.199401 0.198902;	21 0.199758 0.202295;	23 0.200237 0.205891;	25 0.200385 0.113392;	
15000;	0.195497;	34 0.197329 0.195497;	27 0.199401 0.198902;	21 0.199758 0.202295;	29 0.199858 0.113392;	
17500;	0.186414;	31 0.185731 0.186414;	33 0.194117 0.113392;	34 0.197329 0.195497;	34 0.198291 0.202295;	
20000;	0.186414;	31 0.185731 0.186414;	39 0.191386 0.202295;	33 0.192048 0.195497;	33 0.194117 0.113392;	
22500;	0.17693;	40 0.181326 0.17693;	31 0.185731 0.186414;	43 0.187342 0.113392;	40 0.189537 0.195497;	
25000;	0.17693;	43 0.181118 0.184062;	40 0.181326 0.17693;	31 0.185731 0.186414;	43 0.187342 0.113392;	
27500;	0.174152;	43 0.173407 0.174152;	46 0.17542 0.198902;	43 0.181118 0.184062;	40 0.181326 0.17693;	
30000;	0.174152;	43 0.173407 0.174152;	47 0.173728 0.186414;	49 0.174176 0.184062;	42 0.175137 0.17693;	
32500;	0.173129;	50 0.170028 0.173129;	43 0.170044 0.174152;	46 0.171115 0.198902;	39 0.171736 0.184062;	
35000;	0.173129;	50 0.170028 0.173129;	43 0.170044 0.174152;	40 0.170707 0.113392;	46 0.171115 0.198902;	
37500;	0.172686;	51 0.169128 0.172686;	46 0.170028 0.113392;	43 0.170044 0.174152;	45 0.170488 0.198902;	
40000;	0.172211;	47 0.167816 0.172211;	51 0.169128 0.172686;	49 0.169163 0.174152;	52 0.169966 0.195497;	
42500;	0.172211;	47 0.167816 0.172211;	50 0.168123 0.184062;	52 0.168732 0.113392;	46 0.168732 0.195497;	
45000;	0.172211;	47 0.167816 0.172211;	50 0.168123 0.184062;	62 0.168213 0.198902;	55 0.168278 0.113392;	
47500;	0.171247;	56 0.167574 0.171247;	47 0.167816 0.172211;	45 0.168123 0.186414;	62 0.168213 0.198902;	
50000;	0.170782;	46 0.166674 0.170782;	44 0.16756 0.186414;	56 0.167574 0.171247;	47 0.167816 0.172211;	
52500;	0.170782;	57 0.165569 0.173204;	46 0.166674 0.170782;	48 0.167543 0.198902;	44 0.16756 0.186414;	
55000;	0.170782;	57 0.165569 0.173204;	58 0.165982 0.171247;	60 0.166043 0.198902;	61 0.16607 0.186414;	
57500;	0.170782;	62 0.165561 0.17357;	57 0.165569 0.173204;	58 0.165982 0.171247;	60 0.166043 0.198902;	
60000;	0.170782;	62 0.165561 0.17357;	57 0.165569 0.173204;	58 0.165982 0.171247;	60 0.166043 0.198902;	
62500;	0.170782;	57 0.165313 0.172378;	51 0.165433 0.171894;	62 0.165561 0.17357;	57 0.165569 0.173204;	
65000;	0.170782;	52 0.164638 0.172517;	57 0.165313 0.172378;	61 0.165388 0.172686;	51 0.165433 0.171894;	
67500;	0.170782;	57 0.163537 0.171355;	58 0.164297 0.171329;	52 0.164638 0.172517;	57 0.164638 0.171247;	
70000;	0.170782;	57 0.163537 0.171355;	58 0.164297 0.171329;	52 0.164638 0.172517;	57 0.164638 0.171247;	
72500;	0.170782;	57 0.163537 0.171355;	53 0.163785 0.171329;	53 0.16391 0.171247;	61 0.16408 0.172686;	
75000;	0.170782;	57 0.163537 0.171355;	51 0.163706 0.172686;	53 0.163785 0.171329;	55 0.163887 0.171247;	
77500;	0.170782;	59 0.163469 0.17198;	57 0.163537 0.171355;	64 0.163675 0.172517;	51 0.163706 0.172686;	
80000;	0.170782;	64 0.158923 0.176759;	59 0.163431 0.171358;	57 0.163469 0.17198;	56 0.163469 0.17198;	
82500;	0.170782;	64 0.158923 0.176759;	59 0.163431 0.171358;	57 0.163469 0.17198;	52 0.163469 0.172517;	
85000;	0.170782;	64 0.158923 0.176759;	60 0.159915 0.172686;	62 0.162221 0.17198;	60 0.163113 0.172517;	
87500;	0.170782;	64 0.158923 0.176759;	60 0.159915 0.172686;	59 0.159971 0.17198;	57 0.160365 0.172517;	
90000;	0.167217;	54 0.15657 0.175728;	64 0.156641 0.173914;	61 0.156765 0.172517;	68 0.157458 0.167217;	
92500;	0.167217;	54 0.15657 0.175728;	64 0.156641 0.173914;	61 0.156765 0.172517;	61 0.156974 0.176759;	
95000;	0.167217;	69 0.154015 0.168017;	54 0.15657 0.175728;	64 0.156641 0.173914;	61 0.156765 0.172517;	
97500;	0.167217;	63 0.153242 0.174053;	69 0.154015 0.168017;	57 0.156393 0.172517;	54 0.15657 0.175728;	
100000;	0.167217;	55 0.152966 0.175309;	63 0.153242 0.174053;	69 0.153995 0.172686;	69 0.154015 0.168017;	
102500;	0.167217;	68 0.147366 0.175882;	66 0.150727 0.17198;	55 0.152966 0.175309;	63 0.153242 0.174053;	
105000;	0.167217;	71 0.147307 0.178145;	66 0.147366 0.175882;	71 0.149111 0.174053;	63 0.150523 0.172517;	
107500;	0.167217;	67 0.146998 0.174872;	68 0.147162 0.177595;	66 0.147173 0.175882;	71 0.147286 0.175728;	
110000;	0.167217;	66 0.145761 0.174552;	74 0.146238 0.181207;	58 0.146806 0.175882;	67 0.146998 0.174872;	
112500;	0.167217;	62 0.143899 0.175444;	67 0.144301 0.178486;	66 0.145761 0.174552;	74 0.146238 0.181207;	
115000;	0.167217;	62 0.143899 0.175444;	66 0.143927 0.177595;	66 0.144254 0.181207;	67 0.144301 0.178486;	
117500;	0.167217;	62 0.143899 0.175444;	66 0.143927 0.177595;	63 0.144095 0.174552;	63 0.144105 0.175728;	
120000;	0.167217;	63 0.143886 0.17467;	62 0.143899 0.175444;	66 0.143927 0.177595;	68 0.143944 0.181207;	
122500;	0.167217;	63 0.143886 0.17467;	62 0.143899 0.175444;	66 0.143927 0.177595;	68 0.143944 0.181207;	
125000;	0.165131;	66 0.143796 0.167446;	67 0.143808 0.165131;	63 0.143886 0.17467;	71 0.143896 0.177595;	
127500;	0.165131;	66 0.143796 0.167446;	67 0.143808 0.165131;	62 0.143818 0.175444;	63 0.143886 0.17467;	
130000;	0.165131;	64 0.143232 0.165131;	70 0.143792 0.165904;	60 0.143796 0.165131;	67 0.143798 0.17467;	
132500;	0.165131;	64 0.143232 0.165131;	69 0.143299 0.17467;	67 0.143792 0.17467;	60 0.143796 0.165131;	
135000;	0.165131;	64 0.143232 0.165131;	69 0.143299 0.17467;	67 0.143764 0.17467;	66 0.143792 0.17467;	
137500;	0.165131;	64 0.143232 0.165131;	69 0.143299 0.17467;	67 0.143323 0.165131;	60 0.143355 0.17467;	
140000;	0.165131;	67 0.143216 0.165904;	64 0.14322 0.17467;	64 0.143232 0.165131;	69 0.143242 0.165131;	
142500;	0.165131;	67 0.14282 0.176684;	67 0.143216 0.165904;	64 0.14322 0.17467;	70 0.143224 0.165131;	
145000;	0.165131;	67 0.14282 0.176684;	62 0.143216 0.17467;	64 0.14322 0.17467;	70 0.143224 0.165131;	
147500;	0.165131;	67 0.14282 0.176684;	62 0.143216 0.17467;	64 0.14322 0.17467;	70 0.143224 0.165131;	
150000;	0.165131;	67 0.14282 0.176684;	68 0.143198 0.165131;	68 0.143203 0.165131;	62 0.143216 0.17467;	
152500;	0.165131;	67 0.14282 0.176684;	68 0.143198 0.165131;	68 0.143198 0.165131;	68 0.143203 0.165131;	
155000;	0.165131;	67 0.14282 0.176684;	63 0.143188 0.17467;	63 0.143188 0.165131;	63 0.143198 0.17467;	
157500;	0.165131;	67 0.14282 0.176684;	69 0.142822 0.17467;	58 0.143048 0.165131;	63 0.143188 0.17467;	
160000;	0.165131;	66 0.141245 0.169237;	67 0.14282 0.176684;	65 0.14282 0.165131;	69 0.142822 0.17467;	
162500;	0.165131;	66 0.141245 0.169237;	62 0.14282 0.165131;	65 0.14282 0.165131;	69 0.142822 0.17467;	
165000;	0.165131;	66 0.141245 0.169237;	65 0.142708 0.17467;	62 0.14282 0.165131;	65 0.14282 0.165131;	
167500;	0.165131;	65 0.141245 0.169237;	64 0.141477 0.165131;	66 0.14255 0.165131;	65 0.142708 0.17467;	
170000;	0.165131;	65 0.141245 0.169237;	64 0.141477 0.165131;	69 0.141926 0.17467;	66 0.14255 0.165131;	
172500;	0.165131;	65 0.141245 0.169237;	67 0.141245 0.17467;	65 0.141252 0.17467;	64 0.141477 0.165131;	
175000;	0.165131;	63 0.141245 0.169237;	67 0.141245 0.17467;	65 0.141252 0.17467;	64 0.141477 0.165131;	
177500;	0.165131;	64 0.140601 0.167772;	60 0.141245 0.165131;	67 0.141245 0.17467;	63 0.141252 0.17467;	
180000;	0.165131;	62 0.140581 0.167978;	62 0.140601 0.167772;	60 0.141245 0.165131;	67 0.141245 0.17467;	
182500;	0.165131;	67 0.139718 0.166655;	67 0.140182 0.167435;	62 0.140581 0.167978;	58 0.140601 0.165131;	
185000;	0.165131;	66 0.139718 0.166655;	70 0.139999 0.165131;	63 0.140007 0.165131;	66 0.140175 0.165131;	
187500;	0.165131;	67 0.139687 0.166155;	64 0.139718 0.165131;	62 0.139999 0.17467;	63 0.140007 0.165131;	
190000;	0.165131;	69 0.138617 0.170016;	64 0.139687 0.166155;	64 0.139718 0.165131;	61 0.139972 0.165131;	
192500;	0.165131;	63 0.138617 0.170016;	62 0.139687 0.165131;	61 0.139718 0.167978;	61 0.139972 0.165131;	
195000;	0.165131;	63 0.138617 0.170016;	60 0.139687 0.165131;	66 0.139712 0.17467;	60 0.139718 0.165131;	
197500;	0.165131;	58 0.138617 0.170016;	61 0.139223 0.17467;	60 0.139687 0.165131;	59 0.139704 0.17467;	
200000;	0.165131;	58 0.138617 0.170016;	59 0.139223 0.17467;	59 0.139687 0.17467;	59 0.139704 0.17467;	
202500;	0.165131;	56 0.138617 0.170016;	55 0.139223 0.17467;	59 0.139687 0.17467;	59 0.139704 0.17467;	
205000;	0.165131;	55 0.138617 0.170016;	55 0.139223 0.17467;	57 0.139687 0.17467;	58 0.139704 0.17467;	
207500;	0.165131;	52 0.138617 0.170016;	60 0.138806 0.17467;	55 0.139223 0.17467;	64 0.139389 0.17467;	
210000;	0.165131;	51 0.138617 0.170016;	62 0.138662 0.17467;	60 0.138806 0.17467;	53 0.139223 0.17467;	
212500;	0.165131;	51 0.138617 0.170016;	62 0.138662 0.17467;	60 0.138806 0.17467;	61 0.13915 0.17467;	
215000;	0.165131;	51 0.138617 0.170016;	58 0.138662 0.17467;	60 0.138806 0.17467;	55 0.139136 0.17467;	
217500;	0.165131;	49 0.138617 0.170016;	58 0.138662 0.17467;	60 0.138806 0.17467;	55 0.139136 0.17467;	
220000;	0.165131;	49 0.138617 0.170016;	58 0.138662 0.17467;	60 0.138806 0.17467;	61 0.138986 0.17467;	
222500;	0.165131;	49 0.138617 0.170016;	51 0.138662 0.17467;	60 0.138806 0.17467;	66 0.138952 0.17467;	
225000;	0.165131;	61 0.13854 0.174606;	48 0.138617 0.170016;	51 0.138662 0.17467;	60 0.138806 0.17467;	
227500;	0.165131;	57 0.138254 0.174648;	57 0.138273 0.17467;	52 0.13854 0.17467;	48 0.138617 0.170016;	
230000;	0.165131;	57 0.138254 0.174648;	57 0.138273 0.17467;	55 0.138467 0.170016;	52 0.13854 0.17467;	
232500;	0.165131;	54 0.138254 0.174648;	54 0.138273 0.17467;	55 0.138467 0.170016;	52 0.13854 0.17467;	
235000;	0.165131;	54 0.138254 0.174648;	54 0.138273 0.17467;	55 0.138467 0.170016;	52 0.13854 0.17467;	
237500;	0.165131;	53 0.138254 0.174648;	53 0.138273 0.17467;	48 0.138467 0.17467;	52 0.13854 0.17467;	
240000;	0.165131;	62 0.138109 0.174641;	51 0.138254 0.17467;	53 0.138273 0.17467;	48 0.138467 0.17467;	
242500;	0.165131;	58 0.138099 0.174723;	55 0.138109 0.17467;	56 0.138207 0.17467;	51 0.138254 0.17467;	
245000;	0.165131;	56 0.138099 0.174723;	54 0.138109 0.17467;	56 0.138207 0.17467;	59 0.138229 0.17467;	
247500;	0.165131;	55 0.138099 0.174723;	53 0.138109 0.17467;	56 0.138207 0.17467;	56 0.138229 0.17467;	
250000;	0.165131;	50 0.138099 0.174723;	52 0.138109 0.17467;	54 0.138207 0.17467;	56 0.138229 0.17467;	
Best: Len=64; Trn=0.143232; Val=0.165131; Tst=0.156622;

2500;	0.213368;	13 0.209747 0.215284;	15 0.210216 0.219947;	15 0.21072 0.17467;	14 0.211146 0.221729;	
5000;	0.196316;	11 0.197137 0.196316;	18 0.205577 0.213368;	10 0.205579 0.219947;	17 0.205641 0.17467;	
7500;	0.196228;	20 0.197049 0.196228;	11 0.197137 0.196316;	25 0.199255 0.213368;	22 0.202844 0.17467;	
10000;	0.195474;	17 0.196359 0.195474;	20 0.197049 0.196228;	11 0.197137 0.196316;	18 0.198497 0.17467;	
12500;	0.194749;	25 0.195311 0.194749;	30 0.195651 0.19517;	12 0.195927 0.195474;	17 0.196359 0.195474;	
15000;	0.194749;	30 0.19414 0.195581;	29 0.195159 0.219947;	25 0.195311 0.194749;	31 0.195396 0.195474;	
17500;	0.194749;	30 0.19414 0.195581;	29 0.195159 0.219947;	25 0.195311 0.194749;	31 0.195396 0.195474;	
20000;	0.193327;	40 0.192616 0.193327;	37 0.193983 0.199319;	30 0.19414 0.195581;	43 0.19482 0.195474;	
22500;	0.193327;	35 0.186959 0.199728;	40 0.192616 0.193327;	37 0.193983 0.199319;	30 0.19414 0.195581;	
25000;	0.186363;	50 0.185441 0.186363;	35 0.186959 0.199728;	40 0.192616 0.193327;	37 0.193983 0.199319;	
27500;	0.186363;	50 0.185441 0.186363;	35 0.186959 0.199728;	40 0.192616 0.193327;	37 0.193983 0.199319;	
30000;	0.186363;	50 0.185441 0.186363;	48 0.186601 0.194749;	35 0.186959 0.199728;	41 0.189757 0.195581;	
32500;	0.186363;	50 0.185441 0.186363;	48 0.186601 0.194749;	45 0.186918 0.193327;	35 0.186959 0.199728;	
35000;	0.186363;	50 0.185441 0.186363;	40 0.186166 0.219947;	46 0.186284 0.195581;	48 0.186601 0.194749;	
37500;	0.183197;	53 0.183624 0.183197;	45 0.18531 0.195581;	50 0.185441 0.186363;	42 0.185915 0.195474;	
40000;	0.167979;	50 0.172473 0.167979;	53 0.18357 0.180455;	53 0.183624 0.183197;	45 0.18531 0.195581;	
42500;	0.167979;	50 0.172473 0.167979;	51 0.182755 0.199319;	53 0.18357 0.180455;	53 0.183624 0.183197;	
45000;	0.167979;	50 0.172473 0.167979;	50 0.177095 0.199728;	51 0.182755 0.199319;	53 0.18357 0.180455;	
47500;	0.165808;	47 0.165557 0.165808;	49 0.16786 0.167979;	49 0.171119 0.171383;	50 0.172473 0.167979;	
50000;	0.165808;	47 0.165557 0.165808;	48 0.16786 0.167979;	49 0.171119 0.171383;	50 0.172473 0.167979;	
52500;	0.165808;	47 0.165557 0.165808;	42 0.16786 0.167979;	50 0.167914 0.193327;	49 0.168315 0.167979;	
55000;	0.157434;	47 0.156575 0.157434;	48 0.164247 0.16256;	47 0.165557 0.165808;	52 0.166622 0.193327;	
57500;	0.157434;	47 0.156575 0.157434;	52 0.159962 0.193327;	48 0.164247 0.16256;	47 0.165557 0.165808;	
60000;	0.156661;	47 0.155882 0.156661;	51 0.155929 0.156661;	45 0.156575 0.157434;	49 0.156616 0.193327;	
62500;	0.156661;	41 0.155882 0.156661;	45 0.155929 0.165808;	45 0.156575 0.157434;	48 0.156616 0.165808;	
65000;	0.156661;	41 0.155882 0.156661;	45 0.155929 0.165808;	40 0.156575 0.165808;	46 0.156616 0.165808;	
67500;	0.156661;	39 0.155882 0.156661;	43 0.155929 0.165808;	38 0.156575 0.165808;	43 0.156616 0.165808;	
70000;	0.156661;	36 0.155882 0.156661;	39 0.155929 0.165808;	45 0.155952 0.165808;	38 0.156575 0.165808;	
72500;	0.144903;	56 0.1452 0.144903;	36 0.155882 0.156661;	38 0.155929 0.165808;	45 0.155952 0.165808;	
75000;	0.144903;	56 0.1452 0.144903;	39 0.155245 0.165808;	47 0.155865 0.165808;	36 0.155882 0.156661;	
77500;	0.141084;	52 0.141065 0.141084;	42 0.14435 0.144927;	56 0.1452 0.144903;	49 0.150595 0.156661;	
80000;	0.141084;	48 0.141065 0.141084;	42 0.14435 0.144927;	44 0.144863 0.165808;	53 0.1452 0.144903;	
82500;	0.140788;	53 0.140855 0.140788;	48 0.141065 0.141084;	42 0.14435 0.144927;	48 0.144668 0.144903;	
85000;	0.139994;	50 0.13995 0.139994;	53 0.140855 0.140788;	48 0.141065 0.141084;	53 0.141595 0.144903;	
87500;	0.12864;	49 0.129096 0.12864;	50 0.13995 0.139994;	53 0.140855 0.140788;	46 0.141065 0.144903;	
90000;	0.126951;	54 0.126812 0.126951;	49 0.129096 0.12864;	45 0.13995 0.144903;	53 0.140855 0.140788;	
92500;	0.126951;	53 0.126812 0.126951;	53 0.126892 0.144903;	49 0.127329 0.140788;	58 0.12734 0.140788;	
95000;	0.11547;	56 0.115494 0.11547;	47 0.1176 0.117732;	57 0.118348 0.140788;	52 0.118676 0.118403;	
97500;	0.114064;	55 0.114056 0.114064;	55 0.114948 0.140788;	54 0.115494 0.11547;	57 0.115915 0.117732;	
100000;	0.114064;	51 0.113493 0.114064;	60 0.113618 0.126951;	54 0.113745 0.114375;	44 0.114056 0.12864;	
102500;	0.113768;	58 0.113248 0.113768;	51 0.113493 0.114064;	60 0.113618 0.126951;	51 0.113745 0.140788;	
105000;	0.111654;	57 0.111105 0.111654;	54 0.11127 0.114064;	62 0.111769 0.114064;	59 0.112077 0.112559;	
107500;	0.111654;	56 0.11082 0.112078;	57 0.111105 0.111654;	54 0.11127 0.114064;	52 0.111769 0.112559;	
110000;	0.110152;	57 0.109518 0.110254;	57 0.109524 0.126951;	54 0.109634 0.112078;	57 0.110196 0.126951;	
112500;	0.108505;	62 0.109037 0.108505;	52 0.109518 0.112078;	54 0.109524 0.112078;	54 0.109634 0.112078;	
115000;	0.108505;	62 0.109037 0.108505;	52 0.109518 0.112078;	48 0.109524 0.112078;	54 0.109634 0.112078;	
117500;	0.108505;	62 0.109037 0.108505;	54 0.109085 0.112078;	52 0.109518 0.112078;	48 0.109524 0.112078;	
120000;	0.108241;	64 0.108784 0.108241;	70 0.109023 0.112078;	62 0.109037 0.108505;	54 0.109085 0.112078;	
122500;	0.10179;	63 0.104709 0.10179;	71 0.105016 0.112078;	67 0.106614 0.108505;	66 0.106748 0.108241;	
125000;	0.100693;	66 0.0990714 0.100693;	63 0.104709 0.10179;	71 0.105016 0.112078;	66 0.105687 0.112078;	
127500;	0.0956406;	66 0.0976684 0.0956406;	70 0.09769 0.0963858;	66 0.0990714 0.100693;	68 0.100294 0.112078;	
130000;	0.0956406;	67 0.096359 0.0961924;	66 0.0966309 0.112078;	69 0.0968429 0.108241;	68 0.0974124 0.100693;	
132500;	0.0956406;	71 0.0953868 0.0963043;	67 0.096359 0.0961924;	62 0.0966309 0.108241;	69 0.0967568 0.100693;	
135000;	0.0882111;	72 0.087719 0.0894461;	66 0.0883217 0.0882111;	71 0.0953868 0.0963043;	67 0.096359 0.0961924;	
137500;	0.0882111;	64 0.0877138 0.0895171;	72 0.087719 0.0894461;	66 0.0883217 0.0882111;	64 0.0953868 0.100693;	
140000;	0.0882111;	64 0.0877138 0.0895171;	72 0.087719 0.0894461;	66 0.0883217 0.0882111;	69 0.0892972 0.112078;	
142500;	0.0882111;	58 0.0877138 0.0895171;	64 0.087719 0.112078;	64 0.0883217 0.112078;	69 0.0892972 0.112078;	
